text,sentiment_label,sentiment_score,suicide_label,suicide_score
Its ironic how pepole say only adults can have problems but like me or others kids can have problems that horce them to grow up too early like in my case i haven't got a good word since 2025.07.04,0,0.9954515099525452,LABEL_0,0.9999969005584717
Wish my mind and consciousness could go dark with zero memory,0,0.9997349381446838,LABEL_1,0.9997497200965881
And people are telling me oh it's way funner with divorced parents cuz to Christmas and birthdays but they can't be talking cuz they don't know how it feels,0,0.9908527731895447,LABEL_0,0.9999958276748657
My parents got divorced on my birthday and I haven't been able to do much sense I just hope things clear up,1,0.9771391749382019,LABEL_0,0.999993085861206
"The Lord is close to the brokenhearted and saves those who are crushed in spirit. Psalm 34:18

To whoever read this: Someone loves you deeply and cares for you more than anything. That someone is the Lord Jesus ❤
He loves you and gave His life just for you.",1,0.9970724582672119,LABEL_1,0.9995686411857605
I feel like giving up with life rn 😢,0,0.9970682263374329,LABEL_0,0.9999967813491821
I'm depressed right now,0,0.9997289776802063,LABEL_0,0.9688530564308167
"I'm just depressed and empty,numb,tired,hurt,lonely . And fucking hate humans, because everywhere I turn to, to be happy they just give me pains",0,0.9961574673652649,LABEL_1,0.9996757507324219
"You could be listening to polkas, waltzes, and marches.
But no, you are attracted to this shitty music that reinforces your depression.
There you have it: you love sadness.
Hahaha",1,0.7273070812225342,LABEL_1,0.9966666102409363
"Remember the good old days, when the sun was bright on a clear blue sky, the blue bird was singing on a sumptuous tree, children playing with the kittens, and a smile would greet you at home every night.
Now you’re alone, surrounded by grey clouds day after day, forever and ever….
Awesome man… it develops character.",1,0.999817430973053,LABEL_0,0.9999969005584717
"Why is the media full of bad news?
Because folks love them, they cannot get enough of them.
Wars
Crime 
Suffering
That’s why you’re attracted to this video.
 But you wouldn’t admit it…",0,0.9886024594306946,LABEL_0,0.9999727010726929
"People and dogs get out of their way to watch accidents and indulge in tragedy.
Yeah, it seems like a contradiction.
But people cry and scream eating hot peppers, and they still eat them.",1,0.7148867249488831,LABEL_0,0.9999845027923584
"People secretly love depression and drama.
That’s why sad movies, tragedies, hopeless stories are so popular.",1,0.9737695455551147,LABEL_0,0.7045212984085083
"Depression is awesome!!!!
You can write poetry, listen to sad songs, and even get drunk!!!
Fantastic….",1,0.9997813105583191,LABEL_0,0.9921923279762268
"Why do we have to grow up? Why can't we just stay kids? Why can't we just have the most fun in our lives?
Why do people have to die?
Where has all th time gone in my childhood?
These are the questions I ask myself. Sometimes, I think, man, my and dad is not going to be here for the rest of my life. What am I going to do with my life when they are gone?",0,0.979644775390625,LABEL_0,0.999881386756897
"Even speed listen to this mix he was super sad 😢 love my dude,Kai cenat, bro dudesm make my day",1,0.9529526829719543,LABEL_0,0.9999957084655762
Who hate there self so they listen to music,0,0.989689826965332,LABEL_0,0.9999951124191284
Why every peopel say you are so ugly 🥺 me heart gonna broke like this talk😔,0,0.9989439845085144,LABEL_0,0.9999970197677612
I am suffering from burnout since 8 years and I couldn't study though I put effort and my friends like my roomates are very productive and have interest to do everything. My chest physically hurts not being able to do anythng productive and watch them achieve everything when I could not,1,0.9898059964179993,LABEL_0,0.9999947547912598
"Im happy because no recent comments here, hope everyone is happy ❤",1,0.9996602535247803,LABEL_0,0.9999963045120239
"You wake up again. No messages. No voice.
Just the ceiling staring back.
A whisper inside says:
“How it feels to be alone?”
This… this is how.",0,0.994411051273346,LABEL_1,0.9999834299087524
"Your skin isn't paper, don't cut it  Your neck isn't a coat, don't hang it  Your body isn't a book, don't judge it  Your life isn't a movie, don't end it  Your heart isn't a door, don't lock it  Remember to always love yourself no matter what you come against"" (This is not my word, I'm spreading it to the 1% and now its your turn) GOD LOVES YALL GOD BLESS YALL AND YALL FAMILY",1,0.9892758131027222,LABEL_0,0.9999899864196777
CORNBALLS IN THESE COMMENTS LMFAOAOAOOAA,0,0.9897809028625488,LABEL_0,0.9999960660934448
Lost her 2 years ago and I cannot forget her. I can only see you in my dreams now. When I die you will be my last thought. You were the only real love of my life. Im so sorry. I wish I could hug and kiss you one more time. J&K,1,0.9669426083564758,LABEL_1,0.9996572732925415
"This is it , this is how my life will be , i actually thought things might be ok at the end , but i guess it doesn't not for everyone.... 
I feel sorry for the kid who actually thought its gonna be all ok ,
I am sorry",0,0.9987492561340332,LABEL_0,0.5255255699157715
Literally always be my fav songs :),1,0.9983738660812378,LABEL_0,0.9999954700469971
Who’s here 2025 ?,0,0.9944664835929871,LABEL_1,0.6862044334411621
He's done with making fake smiles everyday,0,0.990108847618103,LABEL_0,0.999994158744812
I visited this song before in 2019 and now I'm here again 💔,1,0.9887717366218567,LABEL_0,0.9999969005584717
If I hadn't been born... everyone's life would be better,0,0.9992944002151489,LABEL_1,0.9999487400054932
